Model,Accuracy,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1
Decision Tree,0.6858,0.3803033379395448,0.4401486926150744,0.3803033379395448,0.3949497483617548,0.6787151381739887,0.6858,0.6802980440408616
Random Forest,0.7428666666666667,0.3128825748349707,0.6498493540617224,0.3128825748349707,0.37510417241255833,0.7485803626486223,0.7428666666666667,0.7235591108577415
Logistic Regression,0.48096666666666665,0.09063443189766261,0.13089904524362933,0.09063443189766261,0.09131452884042476,0.46714785467414377,0.48096666666666665,0.4458818186862267
