,1,5,7,9,36,40,60,64,67,68,70,81,91,92,114,119,120,121,122,123,124,125,126,130,131,133,135,139,140,142,143,145,147,148,153,156,158,163,169,175,176,178,179,180,185,191,195,203,210,211,212,219,220,221,222
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,1,9701,0,0,11,0,0,1,33,11,0,15,1,0,11,10,4,12,0,37,10,420,144,714,0,0,0,1,0,0,0,30,0,1,1,0,0,0,1,2,199,0,1,0,0,0,0,4,0,17,11,27,1,2
9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,14,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
64,0,0,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,59,0,0,0,0,0,0,71,0,0,15,0,0,0,0,1,1,0,3,5,18,27,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0,3,1,0
70,0,0,18,0,0,0,0,0,0,0,62,0,80,0,0,0,3,2,2,0,10,6,62,76,30,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0
81,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,30,0,0,0,0,10,0,18,72,0,4967,0,0,9,41,29,30,0,196,63,1078,21,4,3,0,0,5,13,3,5,9,4,0,5,0,0,2,0,4,40,0,0,0,0,1,1,0,1,105,0,3,0,0
92,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,13,0,0,0,0,0,0,1,1,0,12,0,0,372,1,1,0,1,4,2,16,22,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,1,0,0
120,0,1,15,0,0,0,0,0,0,0,4,0,70,0,0,0,39,0,4,0,5,2,85,52,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,1,0,0
121,0,0,4,1,0,0,0,0,0,1,4,0,52,0,0,0,2,287,0,0,0,2,36,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,5,0,0,0,0
122,0,0,13,0,0,0,0,0,0,1,4,0,52,0,0,3,5,1,102,0,30,0,356,39,69,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
123,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,1,56,0,0,0,0,0,0,6,10,0,284,0,0,2,16,3,36,3,1111,13,967,150,191,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0
125,0,0,14,0,0,0,0,3,0,7,4,0,118,0,0,4,6,3,1,0,15,149,95,55,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0,0,0
126,0,9,521,0,0,2,2,7,0,22,54,0,1010,0,2,21,53,31,234,5,623,48,11936,541,823,1,0,0,12,2,1,1,4,0,0,0,0,0,0,0,2,35,1,0,2,0,1,0,0,0,30,1,0,0,0
130,0,0,159,0,0,0,0,0,0,32,53,0,20,0,0,11,40,16,25,2,145,40,692,3499,509,0,0,0,2,4,1,3,8,0,0,4,0,0,0,0,2,8,0,0,0,0,0,0,0,2,35,0,0,0,0
131,0,0,1134,0,1,0,2,0,3,29,29,0,17,0,1,27,25,24,129,4,235,24,1168,579,6872,0,2,0,4,1,0,0,36,0,3,1,2,0,0,1,1,22,0,0,0,0,0,0,0,0,35,10,1,0,0
133,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,1,0,0,0,0,1,5,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,4,0,0,0,0,0,0,0,3,0,24,0,0,0,1,0,0,0,2,0,26,14,11,0,0,0,40,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
142,0,0,1,0,0,0,0,0,0,0,0,0,28,0,0,1,0,3,0,0,3,1,11,16,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,1,1,3,2,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
147,0,0,58,0,0,1,1,0,0,0,1,0,12,0,0,3,0,0,2,0,2,2,13,14,43,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0
